Hand	1-OPP	2-OPP	3-OPP	4-OPP	5-OPP	6-OPP	7-OPP	8-OPP	9-OPP
AA	85.3 	73.4 	63.9 	55.9 	49.2 	43.6 	38.8 	34.7 	31.1 
AKs	67.0 	50.7 	41.4 	35.4 	31.1 	27.7 	25.0 	22.7 	20.7 
AKo	65.4 	48.2 	38.6 	32.4 	27.9 	24.4 	21.6 	19.2 	17.2 
AQs	66.1 	49.4 	39.9 	33.7 	29.4 	26.0 	23.3 	21.1 	19.3 
AQo	64.5 	46.8 	36.9 	30.4 	25.9 	22.5 	19.7 	17.5 	15.5 
AJs	65.4 	48.2 	38.5 	32.2 	27.8 	24.5 	22.0 	19.9 	18.1 
AJo	63.6 	45.6 	35.4 	28.9 	24.4 	21.0 	18.3 	16.1 	14.3 
ATs	64.7 	47.1 	37.2 	31.0 	26.7 	23.5 	21.0 	18.9 	17.3 
ATo	62.9 	44.4 	34.1 	27.6 	23.1 	19.8 	17.2 	15.1 	13.4 
A9s	63.0 	44.8 	34.6 	28.4 	24.2 	21.1 	18.8 	16.9 	15.4 
A9o	60.9 	41.8 	31.2 	24.7 	20.3 	17.1 	14.7 	12.8 	11.2 
A8s	62.1 	43.7 	33.6 	27.4 	23.3 	20.3 	18.0 	16.2 	14.8 
A8o	60.1 	40.8 	30.1 	23.7 	19.4 	16.2 	13.9 	12.0 	10.6 
A7s	61.1 	42.6 	32.6 	26.5 	22.5 	19.6 	17.4 	15.7 	14.3 
A7o	59.1 	39.4 	28.9 	22.6 	18.4 	15.4 	13.2 	11.4 	10.1 
A6s	60.0 	41.3 	31.4 	25.6 	21.7 	19.0 	16.9 	15.3 	14.0 
A6o	57.8 	38.0 	27.6 	21.5 	17.5 	14.7 	12.6 	10.9 	9.6 
A5s	59.9 	41.4 	31.8 	26.0 	22.2 	19.6 	17.5 	15.9 	14.5 
A5o	57.7 	38.2 	27.9 	22.0 	18.0 	15.2 	13.1 	11.5 	10.1 
A4s	58.9 	40.4 	30.9 	25.3 	21.6 	19.0 	17.0 	15.5 	14.2 
A4o	56.4 	36.9 	26.9 	21.1 	17.3 	14.7 	12.6 	11.0 	9.8 
A3s	58.0 	39.4 	30.0 	24.6 	21.0 	18.5 	16.6 	15.1 	13.9 
A3o	55.6 	35.9 	26.1 	20.4 	16.7 	14.2 	12.2 	10.7 	9.5 
A2s	57.0 	38.5 	29.2 	23.9 	20.4 	18.0 	16.1 	14.6 	13.4 
A2o	54.6 	35.0 	25.2 	19.6 	16.1 	13.6 	11.7 	10.2 	9.1 
KK	82.4 	68.9 	58.2 	49.8 	43.0 	37.5 	32.9 	29.2 	26.1 
KQs	63.4 	47.1 	38.2 	32.5 	28.3 	25.1 	22.5 	20.4 	18.6 
KQo	61.4 	44.4 	35.2 	29.3 	25.1 	21.8 	19.1 	16.9 	15.1 
KJs	62.6 	45.9 	36.8 	31.1 	26.9 	23.8 	21.3 	19.3 	17.6 
KJo	60.6 	43.1 	33.6 	27.6 	23.5 	20.2 	17.7 	15.6 	13.9 
KTs	61.9 	44.9 	35.7 	29.9 	25.8 	22.8 	20.4 	18.5 	16.9 
KTo	59.9 	42.0 	32.5 	26.5 	22.3 	19.2 	16.7 	14.7 	13.1 
K9s	60.0 	42.4 	32.9 	27.2 	23.2 	20.3 	18.1 	16.3 	14.8 
K9o	58.0 	39.5 	29.6 	23.6 	19.5 	16.5 	14.1 	12.3 	10.8 
K8s	58.5 	40.2 	30.8 	25.1 	21.3 	18.6 	16.5 	14.8 	13.5 
K8o	56.3 	37.2 	27.3 	21.4 	17.4 	14.6 	12.5 	10.8 	9.4 
K7s	57.8 	39.4 	30.1 	24.5 	20.8 	18.1 	16.0 	14.5 	13.2 
K7o	55.4 	36.1 	26.3 	20.5 	16.7 	13.9 	11.8 	10.2 	9.0 
